FID_Fort_S,FEATURE_ID,TSA_NUMBER,TSA_NUMB_1,TSB_NUMBER,TSB_NUMB_1,EFFECTIVE_,RETIREMENT,COMMENTS,FEATURE_CO,WHO_UPDATE,WHEN_UPDAT,FEATURE_CL,OBJECT_VER,OBJECTID,FEATURE_AR,FEATURE_LE,GEOMETRY_A,GEOMETRY_L,fme_featur,OBJECTID_1,FID_FJS,Field1,clstr_id,samp_id,meas_no,meas_yr,meas_first,meas_last,tsa,tsa_no,mgmt_unit,sampletype,project_de,bgc_zone,ysm_main,mat_main,species_cl,meas_dt,no_meas,period,tot_period,tfl,no_plots,own_sched,own_sched_,samp_sts,grid_size,grid_base,protect_ps,utm_source,utm_zone,utm_eastin,utm_northi,bcalb_x,bcalb_y,aspect,slope,elev,bec_source,beclabel,plot_typ,area_pm,shp_pm,len_pm,wid_pm,rad_pm,baf_pm,util,baha_L,baha_I,baha_V,baha_D,baha_DF,stemsha_L,stemsha_I,stemsha_V,stemsha_D,stemsha_DF,wsvha_L,wsvha_I,wsvha_V,wsvha_D,wsvha_DF,nmvha_L,nmvha_D,spc_live1,spc_label_,spc_label1,lead_si,lead_htop,bh_stand_a,tot_stand_,tsa_desc,objectid_2
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,4,5,0403-0002-DO1,0403_0002_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,N,Poplar,2008-09-13,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,658272,6229135,1343520.39600000000,1256504.94500000000,NA,NA,490,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,9.00000000000,4.00000000000,27.00000000000,0,0,1.80000000000,0,1133.78917400000,0,0,40.46026445000,0,221.44020470000,0,0,13.28398758000,0,148.57627650000,2.53256402400,AT,AT73AC27,,21.31328125,22.83333333,67.10318330000,71.49316961000,Fort St. John TSA,86535
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,5,6,0403-0002-DO1,0403_0002_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,N,Poplar,2008-09-13,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,658272,6229135,1343520.39600000000,1256504.94500000000,NA,NA,490,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,9.00000000000,7.50000000000,27.00000000000,0,0,1.80000000000,0,1133.78917400000,0,0,40.46026445000,0,221.44020470000,0,0,13.28398758000,0,148.57627650000,2.53256402400,AT,AT73AC27,,21.31328125,22.83333333,67.10318330000,71.49316961000,Fort St. John TSA,86536
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,6,7,0403-0002-DO1,0403_0002_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,N,Poplar,2008-09-13,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,658272,6229135,1343520.39600000000,1256504.94500000000,NA,NA,490,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,9.00000000000,12.50000000000,23.40000000000,0,0,1.80000000000,0,761.40632360000,0,0,40.46026445000,0,193.41952680000,0,0,13.28398758000,0,146.09912630000,2.53256402400,AT,AT69AC31,,21.31328125,22.83333333,67.10318330000,71.49316961000,Fort St. John TSA,86537
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,7,8,0403-0002-DO1,0403_0002_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,N,Poplar,2008-09-13,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,658272,6229135,1343520.39600000000,1256504.94500000000,NA,NA,490,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,9.00000000000,17.50000000000,18.00000000000,0,0,1.80000000000,0,404.42131150000,0,0,40.46026445000,0,153.75689480000,0,0,13.28398758000,0,125.87580600000,2.53256402400,AT,AT80AC20,,21.31328125,22.83333333,67.10318330000,71.49316961000,Fort St. John TSA,86538
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,0,1,0403-0001-DO1,0403_0001_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,N,Spruce,2008-09-13,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,659494,6229688,1344715.65100000000,1257109.04900000000,NA,NA,466,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,5.00000000000,4.00000000000,12.00000000000,0,0,0.00000000000,0,920.73497400000,0,0,0.00000000000,0,68.91962916000,0,0,0.00000000000,0,52.08775506000,0.00000000000,SX,SX58AT42,,21.18505859,21.5,45.33333333000,53.50142494000,Fort St. John TSA,86531
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,1,2,0403-0001-DO1,0403_0001_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,N,Spruce,2008-09-13,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,659494,6229688,1344715.65100000000,1257109.04900000000,NA,NA,466,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,5.00000000000,7.50000000000,11.00000000000,0,0,0.00000000000,0,431.21572500000,0,0,0.00000000000,0,66.60279669000,0,0,0.00000000000,0,52.08775506000,0.00000000000,SX,SX55AT45,,21.18505859,21.5,45.33333333000,53.50142494000,Fort St. John TSA,86532
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,2,3,0403-0001-DO1,0403_0001_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,N,Spruce,2008-09-13,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,659494,6229688,1344715.65100000000,1257109.04900000000,NA,NA,466,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,5.00000000000,12.50000000000,10.00000000000,0,0,0.00000000000,0,254.98879540000,0,0,0.00000000000,0,63.58913086000,0,0,0.00000000000,0,52.08775506000,0.00000000000,AT,SX50AT50,,NA,NA,45.33333333000,53.50142494000,Fort St. John TSA,86533
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,3,4,0403-0001-DO1,0403_0001_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,N,Spruce,2008-09-13,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,659494,6229688,1344715.65100000000,1257109.04900000000,NA,NA,466,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,5.00000000000,17.50000000000,8.00000000000,0,0,0.00000000000,0,147.07082080000,0,0,0.00000000000,0,50.78579200000,0,0,0.00000000000,0,43.09228458000,0.00000000000,SX,SX63AT37,,21.18505859,21.5,45.33333333000,53.50142494000,Fort St. John TSA,86534
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,8,9,0403-0003-DO1,0403_0003_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,Y,Other,2008-10-14,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,682151,6236756,1367009.44100000000,1265117.01700000000,NA,NA,696,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,5.00000000000,4.00000000000,4.00000000000,0,0,0.00000000000,0,906.01779330000,0,0,0.00000000000,0,16.56680753000,0,0,0.00000000000,0,8.44123846000,0.00000000000,EP,EP50SW25AT25,,13.07265625,8.7,29.66666667000,36.85059131000,Fort St. John TSA,86539
2,34,40,Fort St. John TSA,40A,Fort St John TSA Block A,18991230,18991230,,FM90500000,INCOSADA,2002-06-11,822,249.00000000000,60362,5498589134.24000000000,534920.22490000000,0.00000000000,0.00000000000,WHSE_ADMIN_BOUNDARIES.FADM_TSA,160,9,10,0403-0003-DO1,0403_0003_VRI,0,2008,Y,Y,40,40,TSA40_FortSt.John,VRI,RANDOM,BWBS,N,Y,Other,2008-10-14,1,0,0,NA,5,69-U,Crown - Miscel Reserve,A,,,N,DGPS,10,682151,6236756,1367009.44100000000,1265117.01700000000,NA,NA,696,PROV_BEC_2017,BWBSmw,V,NA,,NA,NA,NA,5.00000000000,7.50000000000,2.00000000000,0,0,0.00000000000,0,69.78567438000,0,0,0.00000000000,0,10.93930987000,0,0,0.00000000000,0,8.44123846000,0.00000000000,EP,AT50EP50,,13.07265625,8.7,29.66666667000,36.85059131000,Fort St. John TSA,86540
