PRCDDA,Province,Dissemination area (DA) Population,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores,Economic dependency Quintiles,Economic dependency Scores,Residential instability Quintiles,Residential instability Scores
59010123,British Columbia,434,1,-0.829,4,0.034,4,0.362,1,-0.805
59010124,British Columbia,559,1,-0.934,3,-0.162,2,-0.576,1,-0.927
59010125,British Columbia,522,2,-0.679,5,0.547,4,0.114,1,-0.976
59010126,British Columbia,671,2,-0.767,3,-0.361,5,0.815,3,-0.159
59010127,British Columbia,319,1,-0.848,5,0.706,1,-0.945,4,0.068
59010128,British Columbia,545,3,-0.526,2,-0.528,4,0.108,4,0.118
59010129,British Columbia,427,3,-0.486,4,-0.060,3,-0.174,4,0.283
59010130,British Columbia,463,1,-0.877,1,-0.664,2,-0.375,5,0.766
59010131,British Columbia,436,2,-0.646,3,-0.319,2,-0.467,4,0.156
59010132,British Columbia,611,2,-0.704,2,-0.618,1,-0.833,2,-0.604
59010133,British Columbia,734,2,-0.736,1,-0.789,2,-0.440,2,-0.673
59010134,British Columbia,607,1,-0.849,2,-0.494,4,0.501,2,-0.528
59010135,British Columbia,439,1,-0.833,1,-0.710,5,0.872,2,-0.621
59010136,British Columbia,140,1,-0.946,5,2.449,4,0.118,2,-0.555
59010137,British Columbia,464,1,-0.796,1,-0.927,5,0.857,1,-0.836
59010138,British Columbia,540,1,-0.914,2,-0.564,4,0.430,2,-0.611
59010139,British Columbia,683,1,-0.865,4,-0.089,4,0.234,2,-0.675
59010140,British Columbia,612,2,-0.574,2,-0.515,4,0.297,3,-0.402
59010141,British Columbia,367,1,-0.805,3,-0.163,5,0.623,3,-0.366
59010142,British Columbia,455,2,-0.765,3,-0.325,4,0.396,2,-0.584
59010143,British Columbia,594,1,-0.812,1,-0.673,3,-0.126,2,-0.733
59010146,British Columbia,170,1,-1.272,5,2.644,1,-1.123,1,-1.084
59010149,British Columbia,493,1,-0.942,3,-0.194,4,0.312,1,-0.751
59010150,British Columbia,548,1,-0.900,3,-0.279,4,0.278,2,-0.615
59010151,British Columbia,462,1,-0.895,2,-0.479,5,1.684,3,-0.206
59010152,British Columbia,739,1,-0.896,2,-0.374,4,0.469,2,-0.687
59010153,British Columbia,745,1,-0.890,3,-0.230,3,-0.094,4,-0.045
59010154,British Columbia,438,1,-0.939,4,0.151,4,0.380,3,-0.289
59010155,British Columbia,552,1,-0.871,3,-0.126,3,-0.300,3,-0.153
59010156,British Columbia,1087,1,-0.856,2,-0.532,4,0.501,4,0.603
59010157,British Columbia,445,1,-0.961,4,-0.066,3,-0.314,4,-0.055
59010158,British Columbia,473,2,-0.594,3,-0.178,3,-0.187,4,0.270
59010159,British Columbia,391,2,-0.719,3,-0.357,4,0.534,4,0.144
59010160,British Columbia,412,1,-0.817,3,-0.132,2,-0.499,2,-0.508
59010161,British Columbia,469,1,-0.902,4,0.129,3,-0.302,3,-0.144
59010162,British Columbia,476,1,-0.792,1,-0.756,3,0.033,2,-0.662
59010163,British Columbia,430,1,-0.945,3,-0.150,4,0.107,2,-0.647
59010164,British Columbia,1080,1,-0.820,3,-0.329,4,0.233,2,-0.539
59010165,British Columbia,764,1,-0.954,2,-0.491,3,-0.341,1,-0.971
59010166,British Columbia,406,1,-0.859,5,0.555,2,-0.634,4,-0.115
59010167,British Columbia,488,1,-0.859,3,-0.239,3,-0.291,3,-0.317
59010168,British Columbia,396,1,-0.840,4,0.245,2,-0.688,2,-0.615
59010169,British Columbia,581,2,-0.671,1,-0.711,2,-0.563,2,-0.708
59010170,British Columbia,476,1,-0.909,1,-0.823,4,0.272,1,-1.114
59010171,British Columbia,570,1,-0.860,1,-0.719,3,-0.231,1,-1.016
59010172,British Columbia,356,1,-0.911,3,-0.283,5,1.294,2,-0.713
59010173,British Columbia,377,1,-0.802,5,0.526,3,-0.337,4,0.499
59010174,British Columbia,396,1,-0.958,3,-0.317,2,-0.441,3,-0.452
59010175,British Columbia,380,1,-0.841,2,-0.438,4,0.280,1,-1.092
59010176,British Columbia,1116,1,-0.843,2,-0.391,3,-0.125,2,-0.720
59010177,British Columbia,503,1,-0.842,1,-0.681,3,-0.324,3,-0.437
59010178,British Columbia,560,2,-0.665,3,-0.350,3,-0.016,2,-0.648
59010179,British Columbia,492,1,-0.840,4,0.147,3,-0.086,1,-0.809
59010180,British Columbia,727,1,-0.820,1,-0.675,2,-0.521,1,-1.007
59010181,British Columbia,651,2,-0.639,1,-0.918,3,-0.049,1,-1.121
59010182,British Columbia,477,1,-0.888,2,-0.422,4,0.184,2,-0.649
59010183,British Columbia,585,3,-0.542,4,0.041,5,1.083,4,0.132
59010184,British Columbia,469,2,-0.770,5,0.489,3,-0.171,4,0.037
59010185,British Columbia,518,2,-0.607,5,0.690,5,0.803,5,1.970
59010186,British Columbia,479,2,-0.613,5,0.529,1,-0.895,5,1.566
59010187,British Columbia,422,3,-0.531,4,-0.106,1,-0.746,4,0.097
59010188,British Columbia,318,3,-0.156,5,0.320,5,0.766,5,2.205
59010189,British Columbia,301,3,-0.376,5,1.890,2,-0.722,5,2.650
59010190,British Columbia,470,3,-0.529,5,0.842,4,0.168,4,0.459
59010191,British Columbia,338,1,-1.001,4,-0.046,4,0.080,5,1.276
59010192,British Columbia,440,2,-0.648,3,-0.116,3,-0.213,4,0.307
59010193,British Columbia,449,1,-0.777,5,0.610,3,-0.317,4,-0.076
59010194,British Columbia,458,2,-0.569,5,0.351,1,-0.989,4,-0.094
59010195,British Columbia,453,1,-0.946,2,-0.418,3,-0.288,2,-0.655
59010196,British Columbia,463,1,-0.986,3,-0.170,4,0.061,3,-0.196
59010197,British Columbia,440,1,-0.880,3,-0.277,1,-0.786,4,0.312
59010198,British Columbia,478,3,-0.483,5,0.370,5,1.353,5,2.610
59010199,British Columbia,328,2,-0.678,5,0.793,3,-0.012,4,0.270
59010200,British Columbia,652,1,-0.820,2,-0.430,5,1.116,2,-0.703
59010202,British Columbia,958,1,-0.780,2,-0.563,3,-0.036,2,-0.619
59010204,British Columbia,493,1,-0.947,3,-0.295,4,0.159,2,-0.531
59010205,British Columbia,616,1,-0.865,2,-0.535,3,-0.177,1,-1.201
59010206,British Columbia,538,2,-0.727,3,-0.156,4,0.196,1,-1.027
59010207,British Columbia,1019,1,-0.844,1,-0.914,3,-0.136,1,-1.185
59010208,British Columbia,470,1,-0.917,3,-0.284,5,0.822,2,-0.546
59010209,British Columbia,445,1,-0.924,3,-0.320,3,-0.274,1,-0.787
59010210,British Columbia,418,1,-1.001,2,-0.590,4,0.242,1,-1.136
59010211,British Columbia,368,1,-0.980,3,-0.324,5,1.964,1,-1.267
59010212,British Columbia,489,1,-1.030,2,-0.616,4,0.144,2,-0.709
59010213,British Columbia,604,1,-0.912,5,0.489,4,0.113,3,-0.411
59010214,British Columbia,75,1,-0.858,5,2.884,4,0.157,1,-0.890
59010217,British Columbia,470,2,-0.636,3,-0.156,3,-0.290,3,-0.344
59010218,British Columbia,640,2,-0.610,2,-0.618,1,-0.839,4,0.410
59010219,British Columbia,370,2,-0.736,2,-0.571,1,-1.133,5,1.071
59010220,British Columbia,524,3,-0.293,2,-0.435,1,-0.940,4,0.272
59010221,British Columbia,414,1,-0.876,1,-0.751,3,-0.147,2,-0.642
59010222,British Columbia,527,2,-0.620,2,-0.530,1,-0.770,1,-0.844
59010223,British Columbia,564,3,-0.212,1,-0.646,1,-0.792,5,1.420
59010224,British Columbia,413,2,-0.672,2,-0.586,1,-1.149,3,-0.453
59010226,British Columbia,436,1,-0.905,1,-0.965,1,-1.287,1,-0.866
59010227,British Columbia,573,1,-0.980,3,-0.309,1,-0.845,2,-0.641
59010228,British Columbia,381,1,-0.919,3,-0.333,5,1.889,4,0.340
59010229,British Columbia,466,3,-0.477,1,-0.915,1,-0.828,3,-0.322
59010230,British Columbia,443,2,-0.640,4,-0.023,3,-0.099,4,-0.058
59010231,British Columbia,308,2,-0.577,2,-0.502,1,-1.105,4,0.276
59010232,British Columbia,751,1,-0.996,3,-0.289,3,-0.275,3,-0.250
59010233,British Columbia,862,3,-0.369,1,-0.692,1,-0.904,3,-0.421
59010234,British Columbia,567,1,-0.922,3,-0.291,1,-1.265,4,0.185
59010238,British Columbia,429,1,-0.881,2,-0.579,3,-0.314,3,-0.313
59010239,British Columbia,424,2,-0.771,3,-0.293,1,-0.772,3,-0.253
59010240,British Columbia,388,1,-0.808,1,-0.792,2,-0.615,3,-0.335
59010241,British Columbia,600,1,-0.825,2,-0.461,2,-0.371,2,-0.514
59010242,British Columbia,658,1,-1.023,3,-0.137,1,-0.788,2,-0.598
59010244,British Columbia,514,1,-0.862,2,-0.601,4,0.286,2,-0.668
59010245,British Columbia,1044,1,-0.905,2,-0.610,5,1.801,3,-0.163
59010248,British Columbia,482,1,-1.019,4,0.002,3,0.009,1,-0.943
59010254,British Columbia,466,1,-0.911,2,-0.611,3,-0.053,2,-0.673
59010255,British Columbia,1210,2,-0.670,2,-0.543,1,-0.745,4,-0.080
59030128,British Columbia,424,2,-0.639,4,0.225,5,1.266,1,-0.753
59030129,British Columbia,414,1,-0.934,2,-0.405,5,0.908,2,-0.580
59030130,British Columbia,530,2,-0.754,5,0.966,5,0.871,4,0.525
59030131,British Columbia,691,1,-0.971,4,0.034,4,0.178,3,-0.389
59030132,British Columbia,526,2,-0.758,5,0.443,3,-0.202,2,-0.623
59030134,British Columbia,448,1,-0.824,5,0.507,5,1.240,2,-0.535
59030135,British Columbia,433,3,-0.531,4,0.156,5,1.417,4,0.312
59030136,British Columbia,161,3,-0.417,5,0.386,5,1.870,4,0.168
59030137,British Columbia,634,3,-0.470,5,0.291,3,-0.051,3,-0.480
59030138,British Columbia,245,1,-0.774,4,0.187,5,0.767,4,-0.029
