Field1,clstr_id,samp_id,meas_no,meas_yr,meas_first,meas_last,tsa,tsa_no,mgmt_unit,sampletype,project_de,bgc_zone,ysm_main,mat_main,species_cl,meas_dt,no_meas,period,tot_period,tfl,no_plots,own_sched,own_sched_,samp_sts,grid_size,grid_size_,grid_size1,grid_base,protect_ps,utm_source,utm_zone,utm_eastin,utm_northi,bcalb_x,bcalb_y,aspect,slope,elev,bec_source,elev_1,plot_typ,area_pm,shp_pm,len_pm,wid_pm,rad_pm,baf_pm,util,baha_L,baha_I,baha_V,baha_D,baha_DF,stemsha_L,stemsha_I,stemsha_V,stemsha_D,stemsha_DF,wsvha_L,wsvha_I,wsvha_V,wsvha_D,wsvha_DF,nmvha_L,nmvha_D,spc_live1,spc_label_,spc_label1,lead_si,lead_htop,bh_stand_a,tot_stand_,tsa_desc,objectid
1,CAR1-0681-MO1,CAR1_0681_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,N,Y,Spruce,2013-08-20,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,583000.00000000000,5738000,1290000,761000,NA,NA,1031,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,26.99141926000,0,0,1.23492593400,0,975.65560180000,0,0,150.10086180000,0,224.78035910000,0,0,7.17014836000,0,179.93521320000,4.93827741200,SX,S100,,8.386340332,23.725,166.5,183.9475547,100 Mile House TSA,51500
2,CAR1-0681-MO1,CAR1_0681_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,N,Y,Spruce,2013-08-20,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,583000.00000000000,5738000,1290000,761000,NA,NA,1031,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,7.50000000000,26.44307850000,0,0,1.04622503900,0,775.52111940000,0,0,50.03362061000,0,223.25503000000,0,0,6.70566354600,0,179.93521320000,4.93827741200,SX,S100,,8.386340332,23.725,166.5,183.9475547,100 Mile House TSA,51501
3,CAR1-0681-MO1,CAR1_0681_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,N,Y,Spruce,2013-08-20,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,583000.00000000000,5738000,1290000,761000,NA,NA,1031,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,12.50000000000,24.90910763000,0,0,1.04622503900,0,600.40344730000,0,0,50.03362061000,0,215.32674460000,0,0,6.70566354600,0,178.48164820000,4.93827741200,SX,S100,,8.386340332,23.725,166.5,183.9475547,100 Mile House TSA,51502
4,CAR1-0681-MO1,CAR1_0681_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,IDF,N,Y,Spruce,2013-08-20,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,583000.00000000000,5738000,1290000,761000,NA,NA,1031,PROV_BEC_2017,IDFdk3,F,0.04000000000,C,NA,NA,11.28379167000,NA,17.50000000000,22.20168990000,0,0,0.72430964200,0,450.30258550000,0,0,25.01681030000,0,195.64187340000,0,0,5.00692260500,0,165.09262310000,4.04665223100,SX,S100,,8.386340332,23.725,166.5,183.9475547,100 Mile House TSA,51503
5,CAR1-0701-MO1,CAR1_0701_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,SBS,N,Y,Spruce,2013-09-13,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,663000.00000000000,5734000,1370000,761000,NA,NA,1297,PROV_BEC_2017,SBSmm,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,48.55696079000,0,0,20.65312044000,0,1400.94137700000,0,0,450.30258550000,0,552.27374560000,0,0,270.97606860000,0,493.96668970000,238.83373490000,SX,S76BL24,,15.21656901,32.4,155.7922537,168.9127723,100 Mile House TSA,51504
6,CAR1-0701-MO1,CAR1_0701_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,SBS,N,Y,Spruce,2013-09-13,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,663000.00000000000,5734000,1370000,761000,NA,NA,1297,PROV_BEC_2017,SBSmm,F,0.04000000000,C,NA,NA,11.28379167000,NA,7.50000000000,47.98189855000,0,0,20.19909084000,0,1100.73965300000,0,0,250.16810300000,0,550.70493250000,0,0,269.82087670000,0,493.96668970000,238.83373490000,SX,S77BL23,,15.21656901,32.4,155.7922537,168.9127723,100 Mile House TSA,51505
7,CAR1-0701-MO1,CAR1_0701_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,SBS,N,Y,Spruce,2013-09-13,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,663000.00000000000,5734000,1370000,761000,NA,NA,1297,PROV_BEC_2017,SBSmm,F,0.04000000000,C,NA,NA,11.28379167000,NA,12.50000000000,44.72967673000,0,0,19.67063402000,0,700.47068850000,0,0,150.10086180000,0,536.36031380000,0,0,267.60487030000,0,490.13050630000,238.83373490000,SX,S79BL21,,15.21656901,32.4,155.7922537,168.9127723,100 Mile House TSA,51506
8,CAR1-0701-MO1,CAR1_0701_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,SBS,N,Y,Spruce,2013-09-13,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,663000.00000000000,5734000,1370000,761000,NA,NA,1297,PROV_BEC_2017,SBSmm,F,0.04000000000,C,NA,NA,11.28379167000,NA,17.50000000000,40.33906038000,0,0,18.95194375000,0,450.30258550000,0,0,100.06724120000,0,508.23929290000,0,0,263.16943250000,0,468.60975820000,236.39045180000,SX,S86BL14,,15.21656901,32.4,155.7922537,168.9127723,100 Mile House TSA,51507
9,CAR1-1316-MO1,CAR1_1316_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,BG,N,Y,Douglas-Fir,2013-09-27,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,561000.00000000000,5678000,1270000,701000,NA,NA,765,PROV_BEC_2017,BGxw2,F,0.04000000000,C,NA,NA,11.28379167000,NA,4.00000000000,7.58055351200,0,0,0.00000000000,0,250.16810300000,0,0,0.00000000000,0,29.70876680000,0,0,0.00000000000,0,26.04357960000,0.00000000000,FD,FD100,,12.54980469,14.2,59,71.74592141,100 Mile House TSA,51508
10,CAR1-1316-MO1,CAR1_1316_CMI,0,2013,Y,Y,23,23,TSA23_100MileHouse,CMI,GRID,BG,N,Y,Douglas-Fir,2013-09-27,1,0,0,NA,1,62-C,Crown - Forest Management Unit (TSA),A,20 X 20,-67.48872596690,0.00000000000,NFI,N,DGPS,10,561000.00000000000,5678000,1270000,701000,NA,NA,765,PROV_BEC_2017,BGxw2,F,0.04000000000,C,NA,NA,11.28379167000,NA,7.50000000000,7.58055351200,0,0,0.00000000000,0,250.16810300000,0,0,0.00000000000,0,29.70876680000,0,0,0.00000000000,0,26.04357960000,0.00000000000,FD,FD100,,12.54980469,14.2,59,71.74592141,100 Mile House TSA,51509
