"","clstr_id","samp_id","meas_no","meas_yr","meas_first","meas_last","tsa","tsa_no","mgmt_unit","sampletype","project_design","bgc_zone","ysm_main","mat_main","species_class","meas_dt","no_meas","period","tot_period","tfl","no_plots","own_sched","own_sched_descrip","samp_sts","grid_size","grid_base","protect_psp","utm_source","utm_zone","utm_easting","utm_northing","bcalb_x","bcalb_y","aspect","slope","elev","bec_source","beclabel","plot_typ","area_pm","shp_pm","len_pm","wid_pm","rad_pm","baf_pm","util","baha_L","baha_I","baha_V","baha_D","baha_DF","stemsha_L","stemsha_I","stemsha_V","stemsha_D","stemsha_DF","wsvha_L","wsvha_I","wsvha_V","wsvha_D","wsvha_DF","nmvha_L","nmvha_D","spc_live1","spc_label_live","spc_label_dead","lead_si","lead_htop","bh_stand_age","tot_stand_age","tsa_desc","objectid"
"1","0403-0001-DO1","0403_0001_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","N","Spruce","2008-09-13",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,659494,6229688,1344715.651,1257109.049,NA,NA,466,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,4,12,0,0,0,0,920.734974,0,0,0,0,68.91962916,0,0,0,0,52.08775506,0,"SX","SX58AT42","",21.18505859,21.5,45.33333333,53.50142494,"Fort St. John TSA",86531
"2","0403-0001-DO1","0403_0001_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","N","Spruce","2008-09-13",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,659494,6229688,1344715.651,1257109.049,NA,NA,466,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,7.5,11,0,0,0,0,431.215725,0,0,0,0,66.60279669,0,0,0,0,52.08775506,0,"SX","SX55AT45","",21.18505859,21.5,45.33333333,53.50142494,"Fort St. John TSA",86532
"3","0403-0001-DO1","0403_0001_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","N","Spruce","2008-09-13",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,659494,6229688,1344715.651,1257109.049,NA,NA,466,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,12.5,10,0,0,0,0,254.9887954,0,0,0,0,63.58913086,0,0,0,0,52.08775506,0,"AT","SX50AT50","",NA,NA,45.33333333,53.50142494,"Fort St. John TSA",86533
"4","0403-0001-DO1","0403_0001_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","N","Spruce","2008-09-13",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,659494,6229688,1344715.651,1257109.049,NA,NA,466,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,17.5,8,0,0,0,0,147.0708208,0,0,0,0,50.785792,0,0,0,0,43.09228458,0,"SX","SX63AT37","",21.18505859,21.5,45.33333333,53.50142494,"Fort St. John TSA",86534
"5","0403-0002-DO1","0403_0002_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","N","Poplar","2008-09-13",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,658272,6229135,1343520.396,1256504.945,NA,NA,490,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,9,4,27,0,0,1.8,0,1133.789174,0,0,40.46026445,0,221.4402047,0,0,13.28398758,0,148.5762765,2.532564024,"AT","AT73AC27","",21.31328125,22.83333333,67.1031833,71.49316961,"Fort St. John TSA",86535
"6","0403-0002-DO1","0403_0002_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","N","Poplar","2008-09-13",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,658272,6229135,1343520.396,1256504.945,NA,NA,490,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,9,7.5,27,0,0,1.8,0,1133.789174,0,0,40.46026445,0,221.4402047,0,0,13.28398758,0,148.5762765,2.532564024,"AT","AT73AC27","",21.31328125,22.83333333,67.1031833,71.49316961,"Fort St. John TSA",86536
"7","0403-0002-DO1","0403_0002_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","N","Poplar","2008-09-13",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,658272,6229135,1343520.396,1256504.945,NA,NA,490,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,9,12.5,23.4,0,0,1.8,0,761.4063236,0,0,40.46026445,0,193.4195268,0,0,13.28398758,0,146.0991263,2.532564024,"AT","AT69AC31","",21.31328125,22.83333333,67.1031833,71.49316961,"Fort St. John TSA",86537
"8","0403-0002-DO1","0403_0002_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","N","Poplar","2008-09-13",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,658272,6229135,1343520.396,1256504.945,NA,NA,490,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,9,17.5,18,0,0,1.8,0,404.4213115,0,0,40.46026445,0,153.7568948,0,0,13.28398758,0,125.875806,2.532564024,"AT","AT80AC20","",21.31328125,22.83333333,67.1031833,71.49316961,"Fort St. John TSA",86538
"9","0403-0003-DO1","0403_0003_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Other","2008-10-14",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,682151,6236756,1367009.441,1265117.017,NA,NA,696,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,4,4,0,0,0,0,906.0177933,0,0,0,0,16.56680753,0,0,0,0,8.44123846,0,"EP","EP50SW25AT25","",13.07265625,8.7,29.66666667,36.85059131,"Fort St. John TSA",86539
"10","0403-0003-DO1","0403_0003_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Other","2008-10-14",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,682151,6236756,1367009.441,1265117.017,NA,NA,696,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,7.5,2,0,0,0,0,69.78567438,0,0,0,0,10.93930987,0,0,0,0,8.44123846,0,"EP","AT50EP50","",13.07265625,8.7,29.66666667,36.85059131,"Fort St. John TSA",86540
"11","0403-0003-DO1","0403_0003_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Other","2008-10-14",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,682151,6236756,1367009.441,1265117.017,NA,NA,696,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,12.5,2,0,0,0,0,69.78567438,0,0,0,0,10.93930987,0,0,0,0,8.44123846,0,"EP","AT50EP50","",13.07265625,8.7,29.66666667,36.85059131,"Fort St. John TSA",86541
"12","0403-0003-DO1","0403_0003_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Other","2008-10-14",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,682151,6236756,1367009.441,1265117.017,NA,NA,696,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,17.5,1,0,0,0,0,20.04975382,0,0,0,0,6.95354263,0,0,0,0,5.931444716,0,"AT","AT100","",NA,NA,29.66666667,36.85059131,"Fort St. John TSA",86542
"13","0403-0005-DO1","0403_0005_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-10-11",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","VGPS",10,595835,6257622,1280071.442,1282454.673,NA,NA,841,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,7,4,50.4,0,0,1.4,0,2619.902682,0,0,150.0324378,0,364.7527415,0,0,3.431902455,0,277.519149,0,"AT","AT56AC44","",23.08344727,25.2,59.5,62.50154153,"Fort St. John TSA",86543
"14","0403-0005-DO1","0403_0005_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-10-11",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","VGPS",10,595835,6257622,1280071.442,1282454.673,NA,NA,841,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,7,7.5,49,0,0,1.4,0,1699.17159,0,0,150.0324378,0,359.8103111,0,0,3.431902455,0,277.519149,0,"AT","AT57AC43","",23.08344727,25.2,59.5,62.50154153,"Fort St. John TSA",86544
"15","0403-0005-DO1","0403_0005_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-10-11",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","VGPS",10,595835,6257622,1280071.442,1282454.673,NA,NA,841,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,7,12.5,44.8,0,0,0,0,1318.976487,0,0,0,0,337.7753828,0,0,0,0,273.1622455,0,"AT","AT63AC37","",23.08344727,25.2,59.5,62.50154153,"Fort St. John TSA",86545
"16","0403-0005-DO1","0403_0005_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-10-11",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","VGPS",10,595835,6257622,1280071.442,1282454.673,NA,NA,841,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,7,17.5,39.2,0,0,0,0,954.1281947,0,0,0,0,304.8598021,0,0,0,0,255.1962467,0,"AT","AT64AC36","",23.08344727,25.2,59.5,62.50154153,"Fort St. John TSA",86546
"17","0403-0008-DO1","0403_0008_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-10-03",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,594432,6271798,1278078.329,1296593.533,NA,NA,875,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,7,4,37.8,0,0,2.8,0,3588.373007,0,0,252.6202544,0,224.8324138,0,0,13.24976644,0,133.7318288,1.167700528,"AT","AT70SW30","",17.84919922,18.7,54,58.70178296,"Fort St. John TSA",86547
"18","0403-0008-DO1","0403_0008_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-10-03",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,594432,6271798,1278078.329,1296593.533,NA,NA,875,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,7,7.5,35,0,0,2.8,0,2217.71911,0,0,252.6202544,0,220.5907846,0,0,13.24976644,0,133.7318288,1.167700528,"AT","AT76SW24","",17.84919922,18.7,54,58.70178296,"Fort St. John TSA",86548
"19","0403-0008-DO1","0403_0008_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-10-03",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,594432,6271798,1278078.329,1296593.533,NA,NA,875,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,7,12.5,30.8,0,0,1.4,0,1694.892855,0,0,32.55415649,0,200.7254161,0,0,7.678474433,0,131.6965556,1.167700528,"AT","AT77SW23","",17.84919922,18.7,54,58.70178296,"Fort St. John TSA",86549
"20","0403-0008-DO1","0403_0008_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-10-03",1,0,0,NA,5,"69-U","Crown - Miscel Reserve","A","","","N","DGPS",10,594432,6271798,1278078.329,1296593.533,NA,NA,875,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,7,17.5,7,0,0,1.4,0,189.0239047,0,0,32.55415649,0,52.12827011,0,0,7.678474433,0,43.01770034,1.167700528,"SX","SW60AT40","",17.13867188,18,54,58.70178296,"Fort St. John TSA",86550
"21","0403-0009-DO1","0403_0009_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Spruce","2008-10-13",1,0,0,NA,5,"62-C","Crown - Forest Management Unit (TSA)","A","","","N","DGPS",10,604955,6283788,1288072.804,1309036.672,NA,NA,704,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,9,4,54,0,0,0,0,3367.834941,0,0,0,0,345.9302402,0,0,0,0,217.19265,0,"SX","S60AT30EP10","",16.82289063,18.5,55.66666667,65.34344587,"Fort St. John TSA",86551
"22","0403-0009-DO1","0403_0009_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Spruce","2008-10-13",1,0,0,NA,5,"62-C","Crown - Forest Management Unit (TSA)","A","","","N","DGPS",10,604955,6283788,1288072.804,1309036.672,NA,NA,704,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,9,7.5,54,0,0,0,0,3367.834941,0,0,0,0,345.9302402,0,0,0,0,217.19265,0,"SX","S60AT30EP10","",16.82289063,18.5,55.66666667,65.34344587,"Fort St. John TSA",86552
"23","0403-0009-DO1","0403_0009_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Spruce","2008-10-13",1,0,0,NA,5,"62-C","Crown - Forest Management Unit (TSA)","A","","","N","DGPS",10,604955,6283788,1288072.804,1309036.672,NA,NA,704,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,9,12.5,43.2,0,0,0,0,2041.555686,0,0,0,0,291.4970368,0,0,0,0,208.9362331,0,"SX","S63AT29EP08","",16.82289063,18.5,55.66666667,65.34344587,"Fort St. John TSA",86553
"24","0403-0009-DO1","0403_0009_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Spruce","2008-10-13",1,0,0,NA,5,"62-C","Crown - Forest Management Unit (TSA)","A","","","N","DGPS",10,604955,6283788,1288072.804,1309036.672,NA,NA,704,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,9,17.5,18,0,0,0,0,468.1931626,0,0,0,0,137.1393489,0,0,0,0,113.6506613,0,"AT","S50AT50","",14.07734375,14.8,55.66666667,65.34344587,"Fort St. John TSA",86554
"25","0403-0010-DO1","0403_0010_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-09-15",1,0,0,NA,5,"62-C","Crown - Forest Management Unit (TSA)","A","","","N","DGPS",10,641389,6275839,1324742.431,1302580.498,NA,NA,673,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,4,20,0,0,1,0,928.7829318,0,0,292.2955846,0,165.5575622,0,0,3.358947087,0,114.6713009,0,"AT","AT100","",20.57480469,21.85,56.63710179,59.85745408,"Fort St. John TSA",86555
"26","0403-0010-DO1","0403_0010_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-09-15",1,0,0,NA,5,"62-C","Crown - Forest Management Unit (TSA)","A","","","N","DGPS",10,641389,6275839,1324742.431,1302580.498,NA,NA,673,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,7.5,20,0,0,0,0,928.7829318,0,0,0,0,165.5575622,0,0,0,0,114.6713009,0,"AT","AT100","",20.57480469,21.85,56.63710179,59.85745408,"Fort St. John TSA",86556
"27","0403-0010-DO1","0403_0010_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-09-15",1,0,0,NA,5,"62-C","Crown - Forest Management Unit (TSA)","A","","","N","DGPS",10,641389,6275839,1324742.431,1302580.498,NA,NA,673,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,12.5,18,0,0,0,0,608.2965367,0,0,0,0,150.7797131,0,0,0,0,114.3892636,0,"AT","AT100","",20.57480469,21.85,56.63710179,59.85745408,"Fort St. John TSA",86557
"28","0403-0010-DO1","0403_0010_VRI",0,2008,"Y","Y",40,40,"TSA40_FortSt.John","VRI","RANDOM","BWBS","N","Y","Poplar","2008-09-15",1,0,0,NA,5,"62-C","Crown - Forest Management Unit (TSA)","A","","","N","DGPS",10,641389,6275839,1324742.431,1302580.498,NA,NA,673,"PROV_BEC_2017","BWBSmw","V",NA,"",NA,NA,NA,5,17.5,12,0,0,0,0,269.2895522,0,0,0,0,102.3525615,0,0,0,0,81.74745369,0,"AT","AT100","",20.57480469,21.85,56.63710179,59.85745408,"Fort St. John TSA",86558
